"Classic Caesar Dressing","Rich and creamy Caesar dressing for salads and wraps.","true","167","53839.0","Error Message: Maximun Price 50000.00, FieldName: price, Value: 53839.0
"
"Instant Camera","Retro instant camera for capturing and printing photos instantly.","false","35","57939.65","Error Message: Maximun Price 50000.00, FieldName: price, Value: 57939.65
"
"Yoga Wheel","Supportive yoga wheel for deep stretching and balance.","false","568","18750.64","Error Message: Maximun Quantity 500, FieldName: quantity, Value: 568
"
"Grilled Vegetable Medley","A mix of grilled vegetables, ready to heat for quick side dishes.","false","178","55581.85","Error Message: Maximun Price 50000.00, FieldName: price, Value: 55581.85
"
"Lightweight Rain Jacket","Water-resistant jacket ideal for outdoor activities, featuring a packable design.","false","291","58141.42","Error Message: Maximun Price 50000.00, FieldName: price, Value: 58141.42
"
"Whole Wheat Pita Bread","Soft and fluffy whole wheat pita bread, great for wraps.","false","537","27813.37","Error Message: Maximun Quantity 500, FieldName: quantity, Value: 537
"
"Vegan Protein Powder","Plant-based protein powder for post-workout recovery.","true","116","59769.83","Error Message: Maximun Price 50000.00, FieldName: price, Value: 59769.83
"
"Strawberry Banana Smoothie Pack","Frozen smoothie pack with strawberries and bananas.","false","592","23278.9","Error Message: Maximun Quantity 500, FieldName: quantity, Value: 592
"
"Nut Mix","A blend of mixed nuts for snacking.","false","521","56920.57","Error Message: Maximun Price 50000.00, FieldName: price, Value: 56920.57
 | Error Message: Maximun Quantity 500, FieldName: quantity, Value: 521
"
"Silicone Baking Mat","Non-stick baking mat for easy cooking and cleanup.","true","585","41767.0","Error Message: Maximun Quantity 500, FieldName: quantity, Value: 585
"
"Leather Biker Jacket","Stylish black leather jacket featuring a zip-up front and multiple pockets.","true","533","7442.25","Error Message: Maximun Quantity 500, FieldName: quantity, Value: 533
"
"Lemonade Mix","Sweetened powder for refreshing lemonade.","true","512","9627.9","Error Message: Maximun Quantity 500, FieldName: quantity, Value: 512
"
"Portable Massage Table","Folding massage table for professional or home use.","true","521","49065.64","Error Message: Maximun Quantity 500, FieldName: quantity, Value: 521
"
"Canvas Wall Art","Stylish wall art to enhance home decor.","true","485","54169.61","Error Message: Maximun Price 50000.00, FieldName: price, Value: 54169.61
"
"Yoga Blocks","Set of two yoga blocks for increased stability and support.","false","400","55016.59","Error Message: Maximun Price 50000.00, FieldName: price, Value: 55016.59
"
